,Run,Model,Groups,Adapter method,Subject / Task
236,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-40b",tiiuae/falcon-40b,math_chain_of_thought,generation,algebra
237,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-7b",tiiuae/falcon-7b,math_chain_of_thought,generation,algebra
238,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v2",writer/palmyra-x-v2,math_chain_of_thought,generation,algebra
239,"math:subject=algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v3",writer/palmyra-x-v3,math_chain_of_thought,generation,algebra
240,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-34b",01-ai/yi-34b,math_chain_of_thought,generation,counting_and_probability
241,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-6b",01-ai/yi-6b,math_chain_of_thought,generation,counting_and_probability
242,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,math_chain_of_thought,generation,counting_and_probability
243,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,math_chain_of_thought,generation,counting_and_probability
244,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,math_chain_of_thought,generation,counting_and_probability
245,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-grande",ai21/j2-grande,math_chain_of_thought,generation,counting_and_probability
246,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-jumbo",ai21/j2-jumbo,math_chain_of_thought,generation,counting_and_probability
247,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.0",anthropic/claude-2.0,math_chain_of_thought,generation,counting_and_probability
248,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.1",anthropic/claude-2.1,math_chain_of_thought,generation,counting_and_probability
249,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,math_chain_of_thought,generation,counting_and_probability
250,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-v1.3",anthropic/claude-v1.3,math_chain_of_thought,generation,counting_and_probability
251,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command",cohere/command,math_chain_of_thought,generation,counting_and_probability
252,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command-light",cohere/command-light,math_chain_of_thought,generation,counting_and_probability
253,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-bison@001",google/text-bison@001,math_chain_of_thought,generation,counting_and_probability
254,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-unicorn@001",google/text-unicorn@001,math_chain_of_thought,generation,counting_and_probability
255,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-13b",meta/llama-2-13b,math_chain_of_thought,generation,counting_and_probability
256,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-70b",meta/llama-2-70b,math_chain_of_thought,generation,counting_and_probability
257,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-7b",meta/llama-2-7b,math_chain_of_thought,generation,counting_and_probability
258,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-65b",meta/llama-65b,math_chain_of_thought,generation,counting_and_probability
259,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,math_chain_of_thought,generation,counting_and_probability
260,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,math_chain_of_thought,generation,counting_and_probability
261,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,math_chain_of_thought,generation,counting_and_probability
262,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-0613",openai/gpt-4-0613,math_chain_of_thought,generation,counting_and_probability
263,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,math_chain_of_thought,generation,counting_and_probability
264,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-002",openai/text-davinci-002,math_chain_of_thought,generation,counting_and_probability
265,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-003",openai/text-davinci-003,math_chain_of_thought,generation,counting_and_probability
266,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-40b",tiiuae/falcon-40b,math_chain_of_thought,generation,counting_and_probability
267,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-7b",tiiuae/falcon-7b,math_chain_of_thought,generation,counting_and_probability
268,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v2",writer/palmyra-x-v2,math_chain_of_thought,generation,counting_and_probability
269,"math:subject=counting_and_probability,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v3",writer/palmyra-x-v3,math_chain_of_thought,generation,counting_and_probability
270,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-34b",01-ai/yi-34b,math_chain_of_thought,generation,geometry
271,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-6b",01-ai/yi-6b,math_chain_of_thought,generation,geometry
272,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,math_chain_of_thought,generation,geometry
273,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,math_chain_of_thought,generation,geometry
274,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,math_chain_of_thought,generation,geometry
275,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-grande",ai21/j2-grande,math_chain_of_thought,generation,geometry
276,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-jumbo",ai21/j2-jumbo,math_chain_of_thought,generation,geometry
277,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.0",anthropic/claude-2.0,math_chain_of_thought,generation,geometry
278,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.1",anthropic/claude-2.1,math_chain_of_thought,generation,geometry
279,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,math_chain_of_thought,generation,geometry
280,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-v1.3",anthropic/claude-v1.3,math_chain_of_thought,generation,geometry
281,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command",cohere/command,math_chain_of_thought,generation,geometry
282,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command-light",cohere/command-light,math_chain_of_thought,generation,geometry
283,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-bison@001",google/text-bison@001,math_chain_of_thought,generation,geometry
284,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-unicorn@001",google/text-unicorn@001,math_chain_of_thought,generation,geometry
285,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-13b",meta/llama-2-13b,math_chain_of_thought,generation,geometry
286,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-70b",meta/llama-2-70b,math_chain_of_thought,generation,geometry
287,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-7b",meta/llama-2-7b,math_chain_of_thought,generation,geometry
288,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-65b",meta/llama-65b,math_chain_of_thought,generation,geometry
289,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,math_chain_of_thought,generation,geometry
290,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,math_chain_of_thought,generation,geometry
291,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,math_chain_of_thought,generation,geometry
292,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-0613",openai/gpt-4-0613,math_chain_of_thought,generation,geometry
293,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,math_chain_of_thought,generation,geometry
294,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-002",openai/text-davinci-002,math_chain_of_thought,generation,geometry
295,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-003",openai/text-davinci-003,math_chain_of_thought,generation,geometry
296,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-40b",tiiuae/falcon-40b,math_chain_of_thought,generation,geometry
297,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-7b",tiiuae/falcon-7b,math_chain_of_thought,generation,geometry
298,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v2",writer/palmyra-x-v2,math_chain_of_thought,generation,geometry
299,"math:subject=geometry,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v3",writer/palmyra-x-v3,math_chain_of_thought,generation,geometry
300,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-34b",01-ai/yi-34b,math_chain_of_thought,generation,intermediate_algebra
301,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-6b",01-ai/yi-6b,math_chain_of_thought,generation,intermediate_algebra
302,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,math_chain_of_thought,generation,intermediate_algebra
303,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,math_chain_of_thought,generation,intermediate_algebra
304,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,math_chain_of_thought,generation,intermediate_algebra
305,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-grande",ai21/j2-grande,math_chain_of_thought,generation,intermediate_algebra
306,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-jumbo",ai21/j2-jumbo,math_chain_of_thought,generation,intermediate_algebra
307,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.0",anthropic/claude-2.0,math_chain_of_thought,generation,intermediate_algebra
308,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.1",anthropic/claude-2.1,math_chain_of_thought,generation,intermediate_algebra
309,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,math_chain_of_thought,generation,intermediate_algebra
310,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-v1.3",anthropic/claude-v1.3,math_chain_of_thought,generation,intermediate_algebra
311,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command",cohere/command,math_chain_of_thought,generation,intermediate_algebra
312,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command-light",cohere/command-light,math_chain_of_thought,generation,intermediate_algebra
313,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-bison@001",google/text-bison@001,math_chain_of_thought,generation,intermediate_algebra
314,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-unicorn@001",google/text-unicorn@001,math_chain_of_thought,generation,intermediate_algebra
315,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-13b",meta/llama-2-13b,math_chain_of_thought,generation,intermediate_algebra
316,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-70b",meta/llama-2-70b,math_chain_of_thought,generation,intermediate_algebra
317,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-7b",meta/llama-2-7b,math_chain_of_thought,generation,intermediate_algebra
318,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-65b",meta/llama-65b,math_chain_of_thought,generation,intermediate_algebra
319,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,math_chain_of_thought,generation,intermediate_algebra
320,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,math_chain_of_thought,generation,intermediate_algebra
321,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,math_chain_of_thought,generation,intermediate_algebra
322,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-0613",openai/gpt-4-0613,math_chain_of_thought,generation,intermediate_algebra
323,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,math_chain_of_thought,generation,intermediate_algebra
324,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-002",openai/text-davinci-002,math_chain_of_thought,generation,intermediate_algebra
325,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-003",openai/text-davinci-003,math_chain_of_thought,generation,intermediate_algebra
326,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-40b",tiiuae/falcon-40b,math_chain_of_thought,generation,intermediate_algebra
327,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-7b",tiiuae/falcon-7b,math_chain_of_thought,generation,intermediate_algebra
328,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v2",writer/palmyra-x-v2,math_chain_of_thought,generation,intermediate_algebra
329,"math:subject=intermediate_algebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v3",writer/palmyra-x-v3,math_chain_of_thought,generation,intermediate_algebra
330,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-34b",01-ai/yi-34b,math_chain_of_thought,generation,number_theory
331,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-6b",01-ai/yi-6b,math_chain_of_thought,generation,number_theory
332,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,math_chain_of_thought,generation,number_theory
333,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,math_chain_of_thought,generation,number_theory
334,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,math_chain_of_thought,generation,number_theory
335,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-grande",ai21/j2-grande,math_chain_of_thought,generation,number_theory
336,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-jumbo",ai21/j2-jumbo,math_chain_of_thought,generation,number_theory
337,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.0",anthropic/claude-2.0,math_chain_of_thought,generation,number_theory
338,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.1",anthropic/claude-2.1,math_chain_of_thought,generation,number_theory
339,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,math_chain_of_thought,generation,number_theory
340,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-v1.3",anthropic/claude-v1.3,math_chain_of_thought,generation,number_theory
341,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command",cohere/command,math_chain_of_thought,generation,number_theory
342,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command-light",cohere/command-light,math_chain_of_thought,generation,number_theory
343,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-bison@001",google/text-bison@001,math_chain_of_thought,generation,number_theory
344,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-unicorn@001",google/text-unicorn@001,math_chain_of_thought,generation,number_theory
345,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-13b",meta/llama-2-13b,math_chain_of_thought,generation,number_theory
346,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-70b",meta/llama-2-70b,math_chain_of_thought,generation,number_theory
347,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-7b",meta/llama-2-7b,math_chain_of_thought,generation,number_theory
348,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-65b",meta/llama-65b,math_chain_of_thought,generation,number_theory
349,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,math_chain_of_thought,generation,number_theory
350,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,math_chain_of_thought,generation,number_theory
351,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,math_chain_of_thought,generation,number_theory
352,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-0613",openai/gpt-4-0613,math_chain_of_thought,generation,number_theory
353,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,math_chain_of_thought,generation,number_theory
354,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-002",openai/text-davinci-002,math_chain_of_thought,generation,number_theory
355,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-003",openai/text-davinci-003,math_chain_of_thought,generation,number_theory
356,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-40b",tiiuae/falcon-40b,math_chain_of_thought,generation,number_theory
357,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-7b",tiiuae/falcon-7b,math_chain_of_thought,generation,number_theory
358,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v2",writer/palmyra-x-v2,math_chain_of_thought,generation,number_theory
359,"math:subject=number_theory,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v3",writer/palmyra-x-v3,math_chain_of_thought,generation,number_theory
360,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-34b",01-ai/yi-34b,math_chain_of_thought,generation,prealgebra
361,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-6b",01-ai/yi-6b,math_chain_of_thought,generation,prealgebra
362,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,math_chain_of_thought,generation,prealgebra
363,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,math_chain_of_thought,generation,prealgebra
364,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,math_chain_of_thought,generation,prealgebra
365,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-grande",ai21/j2-grande,math_chain_of_thought,generation,prealgebra
366,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-jumbo",ai21/j2-jumbo,math_chain_of_thought,generation,prealgebra
367,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.0",anthropic/claude-2.0,math_chain_of_thought,generation,prealgebra
368,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.1",anthropic/claude-2.1,math_chain_of_thought,generation,prealgebra
369,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,math_chain_of_thought,generation,prealgebra
370,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-v1.3",anthropic/claude-v1.3,math_chain_of_thought,generation,prealgebra
371,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command",cohere/command,math_chain_of_thought,generation,prealgebra
372,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command-light",cohere/command-light,math_chain_of_thought,generation,prealgebra
373,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-bison@001",google/text-bison@001,math_chain_of_thought,generation,prealgebra
374,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-unicorn@001",google/text-unicorn@001,math_chain_of_thought,generation,prealgebra
375,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-13b",meta/llama-2-13b,math_chain_of_thought,generation,prealgebra
376,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-70b",meta/llama-2-70b,math_chain_of_thought,generation,prealgebra
377,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-7b",meta/llama-2-7b,math_chain_of_thought,generation,prealgebra
378,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-65b",meta/llama-65b,math_chain_of_thought,generation,prealgebra
379,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,math_chain_of_thought,generation,prealgebra
380,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,math_chain_of_thought,generation,prealgebra
381,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,math_chain_of_thought,generation,prealgebra
382,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-0613",openai/gpt-4-0613,math_chain_of_thought,generation,prealgebra
383,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,math_chain_of_thought,generation,prealgebra
384,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-002",openai/text-davinci-002,math_chain_of_thought,generation,prealgebra
385,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-003",openai/text-davinci-003,math_chain_of_thought,generation,prealgebra
386,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-40b",tiiuae/falcon-40b,math_chain_of_thought,generation,prealgebra
387,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-7b",tiiuae/falcon-7b,math_chain_of_thought,generation,prealgebra
388,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v2",writer/palmyra-x-v2,math_chain_of_thought,generation,prealgebra
389,"math:subject=prealgebra,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v3",writer/palmyra-x-v3,math_chain_of_thought,generation,prealgebra
390,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-34b",01-ai/yi-34b,math_chain_of_thought,generation,precalculus
391,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=01-ai_yi-6b",01-ai/yi-6b,math_chain_of_thought,generation,precalculus
392,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,math_chain_of_thought,generation,precalculus
393,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,math_chain_of_thought,generation,precalculus
394,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,math_chain_of_thought,generation,precalculus
395,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-grande",ai21/j2-grande,math_chain_of_thought,generation,precalculus
396,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=ai21_j2-jumbo",ai21/j2-jumbo,math_chain_of_thought,generation,precalculus
397,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.0",anthropic/claude-2.0,math_chain_of_thought,generation,precalculus
398,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-2.1",anthropic/claude-2.1,math_chain_of_thought,generation,precalculus
