T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
🔶,NeverSleep/Noromaid-7b-v0.2,61.86,62.12,84.92,63.1,46.09,78.22,36.69,fine-tuned,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.0,7.0,True,bc35358ec19cf0335642228538a83bb306c0e074,True,True
🔶,jondurbin/bagel-8x7b-v0.2,61.83,68.26,86.32,70.4,60.03,81.29,4.7,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,46.7,14.0,True,614649ce0bd9a03fd24963de70655e5f8d4354b0,False,False
⭕,dfurman/Mistral-7B-Instruct-v0.2,61.79,60.15,82.79,60.07,56.06,76.87,34.8,instruction-tuned,?,Adapter,float16,False,apache-2.0,7.0,5.0,False,322faff8bb0c72b772762de7635f5aea9864a24a,False,False
🔶,NeverSleep/Noromaid-7b-v0.2,61.78,62.03,84.97,62.99,46.07,78.37,36.24,fine-tuned,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.0,7.0,True,bc35358ec19cf0335642228538a83bb306c0e074,True,True
🔶,jikaixuan/test,61.76,62.29,84.42,61.07,57.51,78.06,27.22,fine-tuned,Unknown,Adapter,bfloat16,False,?,0.0,0.0,True,e63792701d6136288b95c9c8f24c0030ff5698b0,False,False
🔶,jikaixuan/test_model,61.76,62.29,84.42,61.07,57.51,78.06,27.22,fine-tuned,Unknown,Adapter,bfloat16,False,?,0.0,0.0,True,2e9d6998ce40ffb43ba1d8636a84bf38bf922892,False,False
🔶,spmurrayzzz/Mistral-Syndicate-7B,61.74,60.84,82.88,60.52,43.73,78.45,44.05,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,d95d34db5d0aa50fd3b3594d1632c6ce69937243,False,False
🔶,huangyt/Mistral-7B-v0.1-Open-Platypus_2.5w-r16-gate_up_down,61.71,61.26,83.19,63.87,45.44,77.35,39.12,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,77f7bf749a6c4561b5364b291152b54ba19a59fb,False,False
🔶,Gryphe/MythoMist-7b,61.67,65.87,83.55,62.32,59.98,78.06,20.24,fine-tuned,MistralForCausalLM,Original,float16,False,other,7.24,29.0,True,3b6c71416d191ab161fd3043117304a10df99716,False,False
🔶,NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,61.65,60.49,82.07,62.34,46.38,78.45,40.18,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,9.0,True,f01f41dc7c987ad6668931159feaa4469f7dcf3f,False,False
🔶,hiyouga/Qwen-14B-Chat-LLaMAfied,61.6,57.51,82.11,65.57,51.99,72.93,39.5,fine-tuned,LlamaForCausalLM,Original,float16,False,other,14.17,5.0,True,29e92e74dca4a79aa8c2c451287ff97c4dccb323,False,False
🔶,Undi95/Llamix2-MLewd-4x13B,61.6,61.01,83.17,56.32,50.35,75.37,43.37,fine-tuned,MixtralForCausalLM,Original,float16,False,cc-by-nc-4.0,38.5,35.0,True,19961590ae95ccd9316b13c66098cd61b28a7d5a,True,True
🔶,Intel/neural-chat-7b-v3-1,61.59,66.21,83.64,62.37,59.65,78.14,19.56,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,506.0,True,3995e9a13d54ce95f0ad55de2eaa92e2dc580174,False,False
🔶,Intel/neural-chat-7b-v3-1,61.59,65.7,83.54,62.12,59.48,78.61,20.09,fine-tuned,MistralForCausalLM,Original,8bit,False,apache-2.0,7.24,506.0,True,af2489cde09e9d2c175622f651875e83824c4b10,False,False
🔶,athirdpath/NSFW_DPO_Noromaid-7b,61.59,62.63,84.5,63.34,44.99,78.22,35.86,fine-tuned,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,0.0,True,51b4408a40736e18f69d932cb403811558428378,False,False
🔶,HuggingFaceH4/zephyr-7b-beta,61.59,62.46,84.35,60.7,57.83,77.11,27.07,fine-tuned,MistralForCausalLM,Original,8bit,False,mit,7.24,1187.0,True,0f17b36adfbe7d86ea1c591a9efeeae17b313f48,False,False
🟢,Deci/DeciLM-7B,61.55,59.39,82.51,59.76,40.33,79.95,47.38,pretrained,DeciLMForCausalLM,Original,float16,False,apache-2.0,7.04,201.0,True,b943e32a12bc21df2b8b3c50525c6646acd442bb,False,False
⭕,tianlinliu0121/zephyr-7b-dpo-full-beta-0.2,61.55,61.77,84.04,61.79,54.72,76.95,30.02,instruction-tuned,MistralForCausalLM,Original,bfloat16,False,mit,7.24,0.0,True,727b63fc1ca6a592072159a7185c22f74cd38480,False,False
🔶,Intel/neural-chat-7b-v3-1,61.54,66.3,83.6,62.44,59.54,77.98,19.41,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,506.0,True,3995e9a13d54ce95f0ad55de2eaa92e2dc580174,False,False
🔶,teknium/OpenHermes-2.5-Mistral-7B,61.52,64.93,84.18,63.64,52.24,78.06,26.08,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,547.0,True,2a54cad766bc90828354db5c4199795aecfd0df1,False,False
🔶,uukuguy/Mistral-7B-OpenOrca-lora-merged,61.52,61.77,83.61,64.34,42.7,78.53,38.13,fine-tuned,?,Original,float16,False,llama2,7.0,1.0,True,8a8e4763c3edd0a8e5bb02e4bc865c69a658b428,False,False
🔶,NeverSleep/Noromaid-7b-v0.1.1,61.49,62.2,84.28,63.44,44.3,77.9,36.85,fine-tuned,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,6.0,True,349a2eb5c61e3e13c2b39d15c7b94f5c31ab6bd5,True,True
🔶,TheBloke/robin-65b-v2-fp16,61.48,61.95,84.6,62.51,52.31,80.51,26.99,fine-tuned,LlamaForCausalLM,Original,float16,True,other,65.0,3.0,True,40edb31ba93045d673735361bc98f56125bbc77b,True,False
🔶,walebadr/Mistral-7B-v0.1-DPO,61.47,61.26,83.94,63.76,42.68,78.77,38.44,fine-tuned,MistralForCausalLM,Delta,bfloat16,False,apache-2.0,7.24,0.0,True,bab460c2c68fca377bcc778031d51340104e2dc1,False,False
🔶,teknium/OpenHermes-2.5-Mistral-7B,61.45,64.93,84.3,63.82,52.31,77.9,25.47,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,547.0,True,2a54cad766bc90828354db5c4199795aecfd0df1,False,False
⭕,osanseviero/mistral-instruct-moe-experimental,61.39,61.01,81.55,58.22,60.4,76.09,31.08,instruction-tuned,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,12.88,2.0,True,e926f4f97f89c54806547df1b65cb1e6f0c6b26e,False,True
🔶,smelborp/MixtralOrochi8x7B-Alt,61.38,67.92,86.25,70.06,64.03,80.03,0.0,fine-tuned,MixtralForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,46.7,0.0,True,2cbe1e99144674ff0570a6a38b75c4666ed16087,True,True
🔶,uukuguy/speechless-llama2-13b,61.36,62.03,81.82,58.69,55.66,76.01,33.97,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,13.02,4.0,True,c6362c4fc0dc03420e3c08454b2e7689e4e32d3a,False,False
⭕,tianlinliu0121/zephyr-7b-dpo-full-beta-0.2,61.36,61.86,83.98,61.85,54.78,76.95,28.73,instruction-tuned,MistralForCausalLM,Original,float16,False,mit,7.24,0.0,True,727b63fc1ca6a592072159a7185c22f74cd38480,False,False
⭕,Mihaiii/Metis-0.3-merged,61.34,62.2,84.0,62.65,59.24,78.14,21.83,instruction-tuned,Unknown,Original,bfloat16,False,?,7.24,0.0,True,dbcf2c1f7cbea0bacd756f7d8251b5bb037e28d3,False,False
⭕,Mihaiii/Metis-0.4,61.34,62.2,84.0,62.65,59.24,78.14,21.83,instruction-tuned,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,c2b149c7df2806add971b2c2ec27288abc18f312,False,False
🔶,TheBloke/alpaca-lora-65B-HF,61.33,64.85,85.59,63.11,45.15,81.22,28.05,fine-tuned,LlamaForCausalLM,Original,float16,False,other,65.0,3.0,True,113b61b37a2862b950ada68620e57acafbcefe13,False,False
🟢,microsoft/phi-2,61.33,61.09,75.11,58.11,44.47,74.35,54.81,pretrained,PhiForCausalLM,Original,float16,False,mit,2.78,2386.0,True,d3186761bf5c4409f7679359284066c25ab668ee,False,False
🟦,walebadr/Mistral-7B-v0.1-DPO,61.3,60.32,83.69,64.01,43.53,79.01,37.23,RL-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,e1fa6fa7e272027d648c92873c06a42064b483ec,False,False
⭕,KnutJaegersberg/Deacon-20B,61.28,60.75,81.74,60.7,58.49,76.8,29.19,instruction-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,20.09,0.0,True,dabbb1675c4bfe6fed3fd8fecc7f2d887e697fa7,False,False
⭕,Mihaiii/Metis-0.4,61.28,62.29,83.91,62.7,59.2,77.35,22.21,instruction-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,1.0,True,c2b149c7df2806add971b2c2ec27288abc18f312,False,False
🔶,NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3,61.26,60.58,83.34,61.53,48.21,77.74,36.16,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,3.0,True,43abfcab8bf532a2601ed6e61e0c3614272b7df9,False,False
⭕,WizardLM/WizardLM-70B-V1.0,61.25,65.44,84.41,64.05,54.81,80.82,17.97,instruction-tuned,LlamaForCausalLM,Original,4bit,False,llama2,70.0,202.0,True,6dae38060d70b82dcfe787a612d04aaf0adf0738,False,False
🔶,openchat/openchat_3.5,61.24,63.91,84.79,64.94,46.38,80.58,26.84,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,0.0,1010.0,True,5b874a33a91d63023055e6cb2d5d86afe883b4ec,False,False
🟦,Minirecord/Mini_DPO_test02,61.23,59.73,83.89,61.9,48.47,78.37,35.03,RL-tuned,MistralForCausalLM,Original,float16,False,cc-by-sa-4.0,7.24,0.0,True,cd417467644c4178100083e342bad88a3f968be6,False,False
🔶,openchat/openchat_3.5,61.22,63.82,84.8,64.98,46.39,80.74,26.61,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,0.0,1010.0,True,5b874a33a91d63023055e6cb2d5d86afe883b4ec,False,False
🔶,jondurbin/airoboros-65b-gpt4-2.0,61.2,66.64,86.66,63.18,49.11,80.74,20.85,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,65.0,0.0,True,ea4bdd0221f77de9b0343cd8291cbd0fd6033ca8,False,False
🟢,huggingface/llama-65b,61.19,63.48,86.09,63.93,43.43,82.56,27.67,pretrained,LlamaForCausalLM,Original,float16,False,other,65.29,0.0,False,4ae2e56610e8b9b9a78472708390668e9096b4f9,False,False
🔶,openaccess-ai-collective/mistral-7b-slimorcaboros,61.18,63.65,83.7,63.46,55.81,77.03,23.43,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.0,3.0,True,c06e1a6b6c0fe764117f9ec7611ce31e796e602a,False,False
🔶,openaccess-ai-collective/jackalope-7b,61.16,63.4,83.29,63.5,50.06,78.06,28.66,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,29.0,True,5ba23522319a51d0af23b336a6a83c72ae3780e7,False,False
⭕,mrm8488/mistral-7b-ft-h4-no_robots_instructions,61.16,60.92,83.17,63.37,43.63,78.85,37.0,instruction-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,13.0,True,785446da9a53ceae48795069bf7ccaf46a91a5ba,False,False
⭕,mrm8488/mistral-7b-ft-h4-no_robots_instructions,61.16,60.92,83.24,63.74,43.64,78.69,36.69,instruction-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,13.0,True,785446da9a53ceae48795069bf7ccaf46a91a5ba,False,False
⭕,kyujinpy/PlatYi-34B-Llama-Q-v3,61.15,64.33,84.88,74.98,51.8,84.21,6.67,instruction-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,34.39,3.0,True,2d04b9e3a6c86a718c33e0686c0b5f4e46feb364,False,False
🔶,jondurbin/airoboros-65b-gpt4-2.0,61.14,66.81,86.66,63.41,49.17,80.27,20.55,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,65.0,0.0,True,ea4bdd0221f77de9b0343cd8291cbd0fd6033ca8,False,False
⭕,ehartford/dolphin-2.1-mistral-7b,61.12,64.42,84.92,63.32,55.56,77.74,20.77,instruction-tuned,Unknown,Original,bfloat16,False,?,7.11,0.0,True,aa5bd48c8b3040d1155a8fd59328df160aa63680,False,False
🔶,Zardos/Kant-Test-0.1-Mistral-7B,61.1,61.77,82.89,62.86,49.4,78.53,31.16,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,5989100fa82aaab0db2f8ed3e37a446126050ef9,False,False
⭕,pinkyponky/Mistral-7B-Instruct-Sft-Tuned-V0.2,61.08,57.34,78.95,57.9,50.66,76.16,45.49,instruction-tuned,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,0.0,False,826783eb0e7f2fc471ab9dfeea59acd112a6ecc3,False,False
?,Dans-DiscountModels/Dans-07YahooAnswers-7b,61.07,61.52,83.69,63.52,41.84,78.53,37.3,,MistralForCausalLM,Original,float16,False,apache-2.0,7.0,1.0,True,a9d5e333dd7752b689b97bc7e0cfbd530536a06e,False,False
🔶,ehartford/dolphin-2.1-mistral-7b,61.0,63.99,85.0,63.44,55.57,77.9,20.09,fine-tuned,Unknown,Original,float16,False,?,7.11,0.0,True,aa5bd48c8b3040d1155a8fd59328df160aa63680,False,False
🟢,Cartinoe5930/Llama2_init_Mistral,60.98,60.07,83.3,64.09,42.15,78.37,37.91,pretrained,LlamaForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,e6d5223e089c417e29f56c5750a91e26e8fd5e01,False,False
🟢,mistralai/Mistral-7B-v0.1,60.97,59.98,83.31,64.16,42.15,78.37,37.83,pretrained,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,2595.0,True,e836d8f71b5812f9fee65618453dc537c66bd82a,False,False
🔶,Mihaiii/Pallas-0.5-frankenmerge,60.95,61.77,80.36,67.62,54.07,77.74,24.11,fine-tuned,LlamaForCausalLM,Original,bfloat16,True,other,36.06,0.0,True,b72731a305b62fd9fbcd7c1e99e18d6530600ca9,True,False
🔶,OpenBuddy/openbuddy-falcon-40b-v16.1-4k,60.94,60.58,83.86,56.05,50.57,77.82,36.77,fine-tuned,FalconForCausalLM,Original,bfloat16,False,apache-2.0,41.35,1.0,True,4531abf8028eea1e94ad33697ff25cc53a6b10c9,False,False
🔶,uukuguy/speechless-mistral-moloras-7b,60.93,59.98,83.29,64.12,42.15,78.37,37.68,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,3.0,True,7ef22bee2557aab8a29331653965b3fca22c9a97,False,False
🔶,Reverb/Mistral-7B-LoreWeaver,60.93,59.98,83.29,64.12,42.15,78.37,37.68,fine-tuned,?,Original,float16,False,mit,7.24,3.0,True,1e1796b7230cd5ba6146d748a90db15493465f22,False,False
🔶,CallComply/openchat-3.5-0106-11b,60.91,63.65,78.64,62.54,48.07,78.06,34.5,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,10.73,0.0,True,0ea960b3343ec36e7f130d45d140fe192acf344b,False,False
🔶,upstage/llama-30b-instruct-2048,60.91,64.93,84.94,61.9,56.3,79.56,17.82,fine-tuned,LlamaForCausalLM,Original,float16,False,,30.0,103.0,False,be44a37814a20e790063086703f570732597887a,False,False
🔶,HiTZ/alpaca-lora-65b-en-pt-es-ca,60.89,65.02,84.88,62.19,46.06,80.51,26.69,fine-tuned,Unknown,Adapter,float16,False,?,65.0,0.0,True,aa5bd88bd132925cf2dd5c44eceafdb5ed5e5be4,False,False
🔶,Weyaxi/SlimOpenOrca-Mistral-7B,60.84,62.97,83.49,62.3,57.39,77.43,21.46,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,17.0,True,b0134a7512444dfbb60a2e2d81469a5bbbb18026,False,False
?,CalderaAI/30B-Epsilon,60.8,63.05,83.59,56.89,59.03,77.66,24.56,,LlamaForCausalLM,Original,float16,False,,30.0,9.0,False,6962638c2b0368ad496af6e20e46e3de97a7772b,False,False
🔶,uukuguy/speechless-mistral-dolphin-orca-platypus-samantha-7b,60.79,64.33,84.4,63.72,52.52,78.37,21.38,fine-tuned,MistralForCausalLM,Original,bfloat16,False,llama2,7.24,11.0,True,d4039b40e842df7f6b8de50532444c8944ea5791,False,False
🔶,jondurbin/airoboros-65b-gpt4-m2.0,60.79,65.02,86.35,64.37,46.66,80.19,22.14,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,65.0,0.0,True,fa081d52619b35d7016fb40ce855187d6a8e7e4c,False,False
🔶,OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,60.76,62.37,82.29,58.18,52.6,77.51,31.61,fine-tuned,Unknown,Original,float16,False,?,32.35,0.0,True,85f7ad9d6ff016312262a47d45ffd07dee54aab0,False,False
🔶,uukuguy/speechless-mistral-six-in-one-7b,60.76,62.97,84.6,63.29,57.77,77.51,18.42,fine-tuned,MistralForCausalLM,Original,float16,False,llama2,7.24,4.0,True,41e912e0f79094a80687f88ca5555f84aa9d307f,False,False
🔶,MetaIX/GPT4-X-Alpasta-30b,60.76,63.05,83.56,57.71,51.52,78.22,30.48,fine-tuned,LlamaForCausalLM,Original,float16,True,,30.0,65.0,False,1a0d1d72a40946463fb4a9780207da19bfecc38b,False,False
🟦,Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,60.74,61.35,83.8,57.89,51.18,78.77,31.46,RL-tuned,LlamaForCausalLM,Original,float16,False,other,30.0,6.0,True,e04207847429af03c4780f5ac85c726536217981,False,False
🔶,Sao10K/Venomia-m7,60.74,63.14,84.0,60.06,49.08,75.77,32.37,fine-tuned,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,2.0,True,46d997c522776af0236b254bd4c5f071b39a06a0,False,False
🔶,OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,60.71,62.46,82.3,58.15,52.57,77.82,30.93,fine-tuned,Unknown,Original,bfloat16,False,?,32.35,0.0,True,85f7ad9d6ff016312262a47d45ffd07dee54aab0,False,False
🔶,jondurbin/airoboros-65b-gpt4-m2.0,60.68,65.1,86.34,64.32,46.63,80.11,21.61,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,65.0,0.0,True,fa081d52619b35d7016fb40ce855187d6a8e7e4c,False,False
?,jondurbin/airoboros-65b-gpt4-1.4,60.67,65.78,85.83,62.27,52.45,79.64,18.04,,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,65.0,16.0,True,ae256799615c16443f9c423c653ed9f60577e99e,False,False
🔶,jondurbin/airoboros-65b-gpt4-1.4-peft,60.67,65.78,85.83,62.27,52.45,79.64,18.04,fine-tuned,Unknown,Adapter,float16,False,?,65.0,0.0,True,85ae3b595c6b8415df87000c22bc14ea18c174f5,False,False
🔶,TeeZee/2xbagel-dpo-34b-v0.2,60.66,65.27,79.35,73.64,67.15,76.4,2.12,fine-tuned,LlamaForCausalLM,Original,float16,True,other,56.7,0.0,True,9d7e28d41f1f3221d5fefc48ed495eb921ad4be6,False,False
🔶,Sao10K/Zephyrus-L1-33B,60.61,64.51,84.15,57.37,53.87,80.19,23.58,fine-tuned,LlamaForCausalLM,Original,float16,True,other,32.53,4.0,True,679aae34440d576456b283070371b2a15dbb948b,True,False
🔶,jondurbin/airoboros-65b-gpt4-1.4,60.59,65.53,85.77,61.95,52.43,79.79,18.04,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,65.0,16.0,True,ae256799615c16443f9c423c653ed9f60577e99e,False,False
🟢,Walmart-the-bag/Influxient-4x13B,60.57,61.26,83.42,57.25,54.1,74.35,33.06,pretrained,MixtralForCausalLM,Original,float16,False,cc-by-sa-3.0,38.5,0.0,True,a06acd48979617eb1af25ede71b937767889218b,True,True
⭕,maywell/Synatra-7B-v0.3-dpo,60.55,62.8,82.58,61.46,56.46,76.24,23.73,instruction-tuned,MistralForCausalLM,Original,float16,False,cc-by-sa-4.0,7.0,10.0,True,405a4f1e6513cd1b8de5eb4e003bb49cc86d1f8a,False,False
🔶,ehartford/dolphin-2.2.1-mistral-7b,60.54,63.48,83.86,63.28,53.17,78.37,21.08,fine-tuned,Unknown,Original,float16,False,?,7.0,0.0,True,001b48e9aebffb395c698af47b6b48364cc3cbe8,False,False
🔶,acrastt/kalomaze-stuff,60.53,59.64,83.55,63.41,41.64,78.61,36.32,fine-tuned,Unknown,Adapter,bfloat16,False,?,0.0,0.0,True,7752f615d76e515aa956335ba8d2705c2cbc297b,False,False
🔶,Undi95/Mistral-11B-TestBench9,60.52,64.08,84.24,64.0,56.19,78.45,16.15,fine-tuned,Unknown,Original,bfloat16,False,?,10.73,0.0,True,4ff48527af8c3907129c06160c7f7b7b786a5a79,False,False
🔶,TheBloke/WizardLM-70B-V1.0-GPTQ,60.5,63.82,83.85,63.68,54.54,78.61,18.5,fine-tuned,LlamaForCausalLM,Original,GPTQ,False,llama2,72.82,35.0,True,c234d7c9c0fd26efb55757fdbfb604d549539fe0,False,False
🔶,Weyaxi/Dolphin2.1-OpenOrca-7B,60.47,63.91,84.26,62.66,53.84,78.22,19.94,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,5.0,True,076c0f7de93307e8fb3ad3bd820fb5f73325ca70,False,False
?,TehVenom/oasst-sft-6-llama-33b-xor-MERGED-16bit,60.45,61.52,83.5,57.43,50.7,79.08,30.48,,LlamaForCausalLM,Original,float16,True,,33.0,2.0,False,62f92ddab8b37eaeda15cf5ecb5605141a0525eb,True,False
🔶,HenryJJ/Instruct_Mistral-7B-v0.1_Dolly15K,60.45,59.39,82.62,62.71,43.56,79.32,35.1,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,c1d04418a3f404a9500c8292ec912e2b00694f45,False,False
🔶,Aeala/GPT4-x-AlpacaDente-30b,60.43,62.12,82.78,56.19,52.68,78.69,30.1,fine-tuned,LlamaForCausalLM,Original,float16,False,,30.0,3.0,False,ee76c821f861f0ab0276f9f429dd06565f1f2051,False,False
⭕,WizardLM/WizardMath-70B-V1.0,60.42,68.17,86.49,68.89,52.69,82.32,3.94,instruction-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,70.0,109.0,True,e85b43e53c5379e35393b970c66d76c2d1060381,True,True
⭕,WizardLM/WizardMath-70B-V1.0,60.41,67.92,86.46,68.92,52.77,82.32,4.09,instruction-tuned,LlamaForCausalLM,Original,float16,False,llama2,70.0,109.0,True,e85b43e53c5379e35393b970c66d76c2d1060381,True,True
🔶,ajibawa-2023/SlimOrca-13B,60.39,60.15,81.4,57.04,49.37,74.43,39.95,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-nd-4.0,13.0,9.0,True,75427e93dc99a5e1d8b9aefa106ad36fc750b744,False,False
🔶,speechlessai/speechless-mistral-7b-dare-0.85,60.39,63.31,84.93,64.22,50.68,79.32,19.86,fine-tuned,MistralForCausalLM,Original,float16,False,llama2,7.24,0.0,True,5eefd1b560cd65aec2f689880476f909b46d306c,False,False
🔶,Weyaxi/Dolphin2.1-OpenOrca-7B,60.38,64.16,84.25,62.7,53.83,77.66,19.71,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,5.0,True,076c0f7de93307e8fb3ad3bd820fb5f73325ca70,False,False
🔶,Open-Orca/Mistral-7B-SlimOrca,60.37,62.54,83.86,62.77,54.23,77.43,21.38,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,25.0,True,a9744d8cf9ce4230678a891bcf8bba7cbc0aaece,False,False
🔶,EmbeddedLLM/Mistral-7B-Merge-14-v0.3-ft-step-9984,60.37,62.54,82.18,62.92,53.7,75.61,25.25,fine-tuned,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,4bb10bcc0f7dfc5039658eb5e6b36c8555d94e66,False,False
🔶,BlouseJury/Mistral-7B-Discord-0.1,60.28,60.24,83.13,62.82,44.1,78.93,32.45,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,090a440c18ac262ecc045b798b72f99ba9a22c9c,False,False
🔶,diffnamehard/Psyfighter2-Noromaid-ties-Capybara-13B,60.27,62.29,83.87,56.59,51.44,77.03,30.4,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,0.0,True,a7fa1f27d0a9123ce9dc415a5573b9e0525c69f8,False,False
🔶,openchat/openchat_3.5,60.26,62.46,83.96,62.89,45.43,81.06,25.78,fine-tuned,MistralForCausalLM,Original,4bit,False,apache-2.0,0.0,1010.0,True,5b874a33a91d63023055e6cb2d5d86afe883b4ec,False,False
🔶,PulsarAI/SlimOpenOrca-Mistral-7B-v2,60.25,62.88,83.41,62.05,56.65,77.58,18.95,fine-tuned,Unknown,Original,float16,False,?,7.24,0.0,True,7cd030ccdb169c2685fe028bb4380b91ad74920f,False,False
🔶,Undi95/Mistral-11B-TestBench11,60.25,64.42,83.93,63.82,56.68,77.74,14.94,fine-tuned,Unknown,Original,bfloat16,False,?,10.73,0.0,True,9aae2b156b24557bb98e515f3a90c7865529d2e9,False,False
🔶,MisterRid/wendigo-14b-alpha4,60.25,59.3,79.65,59.85,54.98,74.74,32.98,fine-tuned,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,14.22,0.0,True,ea3ecf4418cf3655cf5093a8feb045b47b92c331,False,False
⭕,vihangd/smartyplats-7b-v2,60.24,57.94,80.76,58.16,50.26,75.53,38.82,instruction-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.0,0.0,True,99049eb184b9b3ef074043d6e626fe3db09f5a19,False,False
🔶,lilloukas/GPlatty-30B,60.23,65.78,84.79,63.49,52.45,80.98,13.87,fine-tuned,Unknown,Original,float16,False,?,32.32,0.0,True,836cf4dcd60ebe2ff09415c72f809d94639e8d35,False,False
🔶,argilla/notus-7b-v1,60.22,64.59,84.78,63.03,54.37,79.4,15.16,fine-tuned,MistralForCausalLM,Original,bfloat16,False,mit,7.24,96.0,True,89f594b32aea9bf5de0abe3877f20ff302549934,False,False
🔶,SicariusSicariiStuff/Tenebra_30B_Alpha01_FP16,60.18,64.51,84.79,54.29,54.22,78.61,24.64,fine-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,32.53,0.0,True,ad31f850f8c061d79a05aaa2419ec0f0baf62034,False,False
🔶,Open-Orca/Mistral-7B-OpenOrca,60.17,64.08,83.99,62.24,53.05,77.74,19.94,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,573.0,True,7233ac83317946d05c474b71cc1379f49eb74c14,False,False
🔶,CallComply/SOLAR-10.7B-Instruct-v1.0-128k,60.16,65.96,84.35,57.63,65.42,80.51,7.13,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,10.73,1.0,False,bf951ef22381c0dbeb69959fb3c06e772adc2426,False,False
🔶,jondurbin/airoboros-65b-gpt4-1.3,60.15,66.13,85.99,63.89,51.32,79.95,13.65,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,65.0,1.0,True,4373e66135c6fb4a6063777c4270a34509e7e932,False,False
